,video,frames,iou
0,000_0,60,0.8862614397054269
1,000_1,60,0.7023972487682609
2,000_2,60,0.9161103468245998
3,000_3,60,0.9281673996111258
4,000_4,60,0.9222110288773737
5,000_5,50,0.9087659507816153
6,002_3,60,0.04097425642112173
7,003_4,60,0.31591275352186715
8,005_0,60,0.00030174995303693293
9,005_4,60,0.033572761013745955
10,005_5,41,0.0
11,009_4,60,0.7310497859952164
12,010_0,60,0.22721676589002923
13,012_0,60,0.1180538165590597
14,013_1,60,0.19050505850488636
15,014_1,60,0.0
16,015_6,21,0.8215374971446765
17,017_0,60,0.7415875584876613
18,017_10,50,0.8528251917065158
19,018_0,60,0.9336080900979156
20,019_5,60,0.6286037050089359
21,020_8,60,0.7694699063351329
22,021_1,60,0.0
23,022_4,60,0.5391364374691032
24,023_5,60,0.6851749060243455
25,024_1,60,0.9193817655335567
26,025_6,60,0.3108667360005779
27,025_8,60,0.6525815425966172
28,026_2,60,0.0323555563594289
29,026_3,60,0.3769487884741736
30,026_4,60,0.8808134171353974
31,027_1,60,0.1028026380178046
32,027_4,60,0.039255406547491066
33,027_6,10,0.04126480498579549
34,028_16,60,0.8633514947595436
35,028_18,60,0.0
36,029_2,60,0.8816669607719956
37,029_4,60,0.6797657664113207
38,029_6,60,0.8029939189511512
39,029_7,60,0.7007752326635012
40,029_8,60,0.49135700472940685
41,030_2,60,0.8416773435693822
42,032_0,60,0.17548208423821843
43,033_1,45,0.0
44,034_5,60,0.8101896603285172
45,035_3,60,0.3132383019112291
46,035_4,60,0.7600515523471091
47,035_5,60,0.41694843128313686
48,035_6,60,0.27328645772614707
49,035_7,57,0.4731431183174019
50,038_0,60,0.024290534860506453
51,038_1,60,0.7525585972186394
52,038_5,60,0.703112821620172
53,038_6,60,0.2571008429168809
54,038_7,60,0.5893480562088017
55,038_8,60,0.3175443598160657
56,038_9,60,0.5394679799154171
57,039_9,48,0.8318396291052528
58,041_0,60,0.16392944645452237
59,041_5,60,0.931920236299597
60,041_6,18,0.965344251287616
61,043_0,60,0.15175123982823505
62,043_1,60,0.42491765895974404
63,043_10,60,0.24105773024591212
64,043_11,60,0.4959950469714247
65,043_12,20,0.7162765978166787
66,043_2,60,0.44411292949253617
67,043_8,60,0.2860359312177677
68,043_9,60,0.3728742592540596
69,045_0,60,0.0
70,045_1,60,0.1726754445631556
71,045_10,60,0.8841406476157754
72,045_11,60,0.8490457655313484
73,045_12,26,0.26803769595934857
74,045_2,60,0.628713687632894
75,045_7,60,0.5326518166549458
76,045_8,60,0.8882503251071274
77,045_9,60,0.8703383993186722
78,046_0,60,0.8079151237474914
79,046_1,60,0.9523350725823644
80,046_2,60,0.9411868451868048
81,046_6,50,0.9567355838057088
82,049_0,60,0.8297371266148569
83,049_1,60,0.7852707394528996
84,049_14,60,0.7142614624293262
85,049_15,54,0.7713517189848976
86,049_2,60,0.7768326821259001
87,049_6,60,0.7409680097016081
88,049_7,60,0.6758826355585092
89,049_8,60,0.7356110765895097
90,050_0,60,0.6289932381188265
91,050_1,60,0.8120399005391542
92,050_10,60,0.7378330609225607
93,050_11,60,0.8848644843374077
94,050_12,60,0.8062513490183648
95,050_13,60,0.8014775661755384
96,050_14,60,0.8622768197234301
97,050_17,60,0.7698897837644519
98,050_2,60,0.9766660815199127
99,050_8,60,0.905635283356082
100,050_9,60,0.9664733089011132
101,051_4,60,0.8731378520730735
102,051_5,60,0.6575984689036434
103,051_7,60,0.22169433858656443
104,052_3,60,0.483943324282505
105,052_4,60,0.5003107804380371
106,052_5,60,0.728173417987982
107,052_6,60,0.9541480874295367
108,052_7,60,0.5869139494130143
109,052_8,60,0.6105039403593295
110,053_0,60,0.5719072023418007
111,054_2,60,0.3893662458583745
112,054_3,60,0.5245029966076765
113,054_4,60,0.730100980311371
114,054_5,5,0.40472139233890675
115,055_10,60,0.017173263499107878
116,055_13,57,0.46722350755852093
117,055_14,60,0.9566567726910324
118,055_3,60,0.5879683028171787
119,055_4,60,0.5544937702921044
120,055_5,60,0.5727790647882196
121,055_6,60,0.4501708149127736
122,055_7,60,0.37781534152328433
123,055_8,60,0.23183168422366504
124,055_9,60,0.14139708116885516
