{'max_epoch': 15, 'last_iter': 0, 'finetune_lr': 0.0001, 'scratch_lr': 0.001, 'weight_decay': 0.0005, 'momentum': 0.9, 'snapshot': '', 'scale': 416, 'multi-scale': None, 'fp16': False, 'warm_up_epochs': 3, 'seed': 2020}

epochs:1, iter: 2, hinge1_f: 2.0580805, hinge2_f: 1.2277435, hinge3_f: 1.3614585, hinge1: 1.9334275, hinge2: 1.9335435, hinge3: 2.3004975, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 3, hinge1_f: 2.0481265, hinge2_f: 1.3622795, hinge3_f: 1.4147505, hinge1: 1.9494765, hinge2: 2.0875615, hinge3: 2.0867335, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 4, hinge1_f: 2.0184735, hinge2_f: 1.4347805, hinge3_f: 1.4626575, hinge1: 1.9998505, hinge2: 1.9912455, hinge3: 1.9849735, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 5, hinge1_f: 2.0051425, hinge2_f: 1.5926445, hinge3_f: 1.5844615, hinge1: 2.0036985, hinge2: 2.0390255, hinge3: 2.0098325, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 6, hinge1_f: 1.9601935, hinge2_f: 1.6736925, hinge3_f: 1.5430725, hinge1: 1.9990745, hinge2: 2.0372785, hinge3: 2.0354215, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 7, hinge1_f: 1.9399145, hinge2_f: 1.7391675, hinge3_f: 1.5430205, hinge1: 2.0673445, hinge2: 2.1094195, hinge3: 2.0024705, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 8, hinge1_f: 1.9669815, hinge2_f: 1.7661645, hinge3_f: 1.5352515, hinge1: 2.0439415, hinge2: 2.1026045, hinge3: 2.0332475, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 9, hinge1_f: 1.9595745, hinge2_f: 1.7490705, hinge3_f: 1.5238305, hinge1: 2.0462245, hinge2: 2.0914845, hinge3: 2.0144655, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 10, hinge1_f: 1.9582305, hinge2_f: 1.7501815, hinge3_f: 1.5249675, hinge1: 2.0213425, hinge2: 2.0865635, hinge3: 2.0200965, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 11, hinge1_f: 1.9489585, hinge2_f: 1.7807815, hinge3_f: 1.5192605, hinge1: 2.0153835, hinge2: 2.1108425, hinge3: 2.0242405, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 12, hinge1_f: 1.9451105, hinge2_f: 1.7787705, hinge3_f: 1.5062095, hinge1: 2.0131225, hinge2: 2.1188275, hinge3: 2.0222335, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 13, hinge1_f: 1.9488735, hinge2_f: 1.7310325, hinge3_f: 1.4954845, hinge1: 2.0024535, hinge2: 2.1072135, hinge3: 2.0044885, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 14, hinge1_f: 1.9507565, hinge2_f: 1.7403055, hinge3_f: 1.5099565, hinge1: 2.0046855, hinge2: 2.1069935, hinge3: 1.9847825, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 15, hinge1_f: 1.9537575, hinge2_f: 1.7330005, hinge3_f: 1.5178185, hinge1: 1.9950235, hinge2: 2.1009965, hinge3: 1.9879395, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 16, hinge1_f: 1.9650595, hinge2_f: 1.7364225, hinge3_f: 1.5257205, hinge1: 1.9865625, hinge2: 2.0871095, hinge3: 1.9713185, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 17, hinge1_f: 1.9752405, hinge2_f: 1.7512865, hinge3_f: 1.5345255, hinge1: 1.9744335, hinge2: 2.0763645, hinge3: 1.9593475, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 18, hinge1_f: 1.9883165, hinge2_f: 1.7899855, hinge3_f: 1.5480785, hinge1: 1.9684915, hinge2: 2.0986045, hinge3: 1.9572145, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 19, hinge1_f: 1.9922305, hinge2_f: 1.8049205, hinge3_f: 1.5455455, hinge1: 1.9560045, hinge2: 2.0938265, hinge3: 1.9672335, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 20, hinge1_f: 1.9965015, hinge2_f: 1.7696425, hinge3_f: 1.5382045, hinge1: 1.9486485, hinge2: 2.0832435, hinge3: 1.9484435, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 21, hinge1_f: 1.9879935, hinge2_f: 1.7798335, hinge3_f: 1.5380635, hinge1: 1.9561695, hinge2: 2.0823395, hinge3: 1.9409795, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 22, hinge1_f: 1.9808915, hinge2_f: 1.7940885, hinge3_f: 1.5477725, hinge1: 1.9583215, hinge2: 2.0872425, hinge3: 1.9404955, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 23, hinge1_f: 1.9861895, hinge2_f: 1.7717575, hinge3_f: 1.5409645, hinge1: 1.9522045, hinge2: 2.0793535, hinge3: 1.9285625, cla: 0.0000005, lr: 0.0000008
epochs:1, iter: 24, hinge1_f: 1.9826115, hinge2_f: 1.7751415, hinge3_f: 1.5419415, hinge1: 1.9568075, hinge2: 2.0711695, hinge3: 1.9205795, cla: 0.0000005, lr: 0.0000008
